hashtag,index,abstract,raw_labels,abstract_df_idx,emoji_s,count
孝感小区近百人聚集煽动者被捕,4743,导语：湖北孝感应城市政府发布通告，称此前“近百人小区聚集”事件煽动者被检方批捕：“3月12日晚，曾某智等人以封闭管控期间物业管理不规范、生活物资配送价格过高为由，实则为了达到谋取海山业主委员会主任职务及长期不交物业管理费的个人目的，组织煽动近百人在小区聚集，给疫情防控带来巨大风险。,"[1, 6, 5]",0,"(1, 6, 5, 9, 11, 2, 22, 12, 0, 3, 21, 20, 13, 8, 10, 17, 4, 15, 16, 18, 14, 7, 19, 23)","(2547, 1120, 571, 117, 78, 59, 51, 51, 50, 32, 24, 21, 20, 17, 17, 14, 11, 11, 10, 8, 6, 5, 1, 1)"
谎称患新冠要传染他人获刑1年,11901,导语：男子谎称患新冠肺炎要传染他人，法院以编造虚假信息罪判处邓某某有期徒刑一年。,"[5, 1, 2]",1,"(5, 1, 2, 6, 23, 4, 3, 20, 8, 9, 17, 19, 16)","(230, 30, 27, 23, 8, 5, 5, 3, 2, 2, 2, 1, 1)"
杨迪点名跑路站姐,7780,导语：杨迪在自己剪辑的生日视频中公开点名跑路站姐，原因是杨迪本来有四个站子，结果打开手机发现，其中有三个都已经停更一年了！,"[3, 8, 0]",2,"(3, 8, 0, 2, 1, 14, 5, 10, 17, 16, 6, 11, 13, 18, 12, 9, 15, 22, 7, 20, 4, 21, 19, 23)","(5308, 1515, 609, 180, 43, 33, 27, 16, 16, 10, 9, 8, 8, 7, 7, 5, 4, 3, 2, 2, 1, 1, 1, 1)"
浙江高校开学时间,8838,导语：浙江省高校从4月26日起至5月10日陆续开学，特殊情况可适当延长学生返校时间。,"[4, 7, 16]",3,"(4, 7, 16, 6, 20, 12, 2, 19, 5, 1, 3, 11, 9, 22, 13, 18, 8, 14, 15, 0, 17, 21, 10, 23)","(3516, 694, 247, 206, 190, 160, 122, 98, 66, 64, 59, 50, 28, 18, 17, 15, 9, 9, 8, 7, 7, 5, 3, 1)"
睡不够更易导致腹部肥胖,10187,导语：根据韩国食品研究所的数据分析，每晚睡眠7至9小时的人比每晚睡眠不足5小时的人，腹部肥胖的风险低28%至35%。,"[2, 3, 4]",4,"(2, 3, 4, 8, 19, 1, 22, 0, 12, 11, 10, 15, 16, 21, 20)","(282, 140, 52, 19, 15, 10, 9, 7, 7, 6, 6, 5, 4, 3, 1)"
因为主演而放弃的剧,3856,导语：很多经典改编影视剧，会因为选角鱼想象差异过大，或者因为主角演技形象不佳，而被大家拒绝，比如《新神雕侠侣》中的小笼包小龙女，你有哪些因为选角而放弃的剧呢？,"[3, 2, 1]",5,"(3, 2, 1, 8, 11, 18, 4, 9, 6, 19, 22, 5, 21, 15, 20, 16, 17, 13, 14, 23, 12, 7, 0, 10)","(436, 202, 121, 75, 44, 42, 39, 37, 27, 26, 19, 19, 14, 12, 12, 10, 9, 7, 7, 6, 3, 2, 2, 2)"
上海新增11例境外输入9例来自同一航班,1000,导语：据上海市卫健委：4月12日0—24时，通过口岸联防联控机制，上海报告11例境外输入性新冠肺炎确诊病例。其中病例1-病例9，均为中国籍，乘坐同一航班。,"[6, 4, 12]",6,"(6, 4, 12, 16, 0, 18, 15, 8, 13, 3, 2, 22, 17, 5, 7, 9, 19, 20, 23, 1)","(1272, 109, 38, 24, 20, 18, 17, 15, 15, 14, 10, 10, 9, 8, 7, 6, 6, 6, 5, 2)"
父母姓氏合起来的名字,9424,导语：你有见过父母姓氏加起来的名字吗？带话题发微博分享一下吧～,"[3, 2, 0]",7,"(3, 2, 0, 1, 8, 18, 21, 16, 9, 14, 17, 4, 22, 23, 6, 20, 5, 19)","(551, 357, 97, 82, 81, 60, 20, 11, 9, 8, 8, 7, 7, 7, 6, 5, 4, 1)"
木村心美木村光希合照,7391,导语：木村光希在微博晒出和姐姐木村心美的合照，姐妹俩一个像妈妈一个像爸爸。,"[0, 1, 9]",8,"(0, 1, 9, 4, 22, 11, 21, 6, 10, 3, 7, 16, 8, 17, 20, 2, 14, 12, 18, 5)","(768, 349, 57, 57, 34, 28, 20, 14, 12, 11, 11, 11, 9, 6, 6, 5, 4, 2, 1, 1)"
学生错峰排队上厕所像进考场,4785,导语：近日，厦门中小学陆续开学，学校安排学生们错峰上厕所，现场排队就像进考场，厕所外还有“监考老师”。,"[1, 2, 3]",9,"(1, 2, 3, 6, 8, 5, 11, 4, 16, 19, 17, 9, 15, 13, 14, 0, 18)","(1904, 389, 289, 140, 50, 36, 28, 21, 17, 13, 9, 7, 7, 6, 6, 3, 2)"
